"STATION","NAME","DATE","DX70","DX90","TMAX","TMIN"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-03","12","0","68.8","45.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-04","23","3","77.9","52.3"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-05","29","4","80.4","56.7"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-06","30","21","92.3","63.1"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-07","31","30","96.9","68.7"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-08","31","24","95.2","68.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-09","30","19","92.3","65.4"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-10","29","8","81.6","56.9"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-11","30","5","80.6","52.2"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2021-12","4","0","62.0","43.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2022-01","15","0","68.6","44.0"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","2022-02",,,,
